nbpts,z_h,Te
200,1.44E+10,2.00E+06
201,1.45E+10,2.00E+06
202,1.46E+10,2.00E+06
203,1.46E+10,2.01E+06
204,1.47E+10,2.01E+06
205,1.48E+10,2.01E+06
206,1.49E+10,2.01E+06
207,1.49E+10,2.01E+06
208,1.50E+10,2.02E+06
209,1.51E+10,2.02E+06
210,1.51E+10,2.02E+06
211,1.52E+10,2.02E+06
212,1.53E+10,2.02E+06
213,1.54E+10,2.03E+06
214,1.54E+10,2.03E+06
215,1.55E+10,2.03E+06
216,1.56E+10,2.03E+06
217,1.57E+10,2.03E+06
218,1.57E+10,2.03E+06
219,1.58E+10,2.04E+06
220,1.59E+10,2.04E+06
221,1.59E+10,2.04E+06
222,1.60E+10,2.04E+06
223,1.61E+10,2.04E+06
224,1.62E+10,2.04E+06
225,1.62E+10,2.05E+06
226,1.63E+10,2.05E+06
227,1.64E+10,2.05E+06
228,1.65E+10,2.05E+06
229,1.65E+10,2.05E+06
230,1.66E+10,2.05E+06
231,1.67E+10,2.06E+06
232,1.67E+10,2.06E+06
233,1.68E+10,2.06E+06
234,1.69E+10,2.06E+06
235,1.70E+10,2.06E+06
236,1.70E+10,2.06E+06
237,1.71E+10,2.07E+06
238,1.72E+10,2.07E+06
239,1.73E+10,2.07E+06
240,1.73E+10,2.07E+06
241,1.74E+10,2.07E+06
242,1.75E+10,2.07E+06
243,1.75E+10,2.08E+06
244,1.76E+10,2.08E+06
245,1.77E+10,2.08E+06
246,1.78E+10,2.08E+06
247,1.78E+10,2.08E+06
248,1.79E+10,2.08E+06
249,1.80E+10,2.08E+06
250,1.80E+10,2.09E+06
251,1.81E+10,2.09E+06
252,1.82E+10,2.09E+06
253,1.83E+10,2.09E+06
254,1.83E+10,2.09E+06
255,1.84E+10,2.09E+06
256,1.85E+10,2.09E+06
257,1.86E+10,2.10E+06
258,1.86E+10,2.10E+06
259,1.87E+10,2.10E+06
260,1.88E+10,2.10E+06
261,1.88E+10,2.10E+06
262,1.89E+10,2.10E+06
263,1.90E+10,2.11E+06
264,1.91E+10,2.11E+06
265,1.91E+10,2.11E+06
266,1.92E+10,2.11E+06
267,1.93E+10,2.11E+06
268,1.94E+10,2.11E+06
269,1.94E+10,2.11E+06
270,1.95E+10,2.12E+06
271,1.96E+10,2.12E+06
272,1.96E+10,2.12E+06
273,1.97E+10,2.12E+06
274,1.98E+10,2.12E+06
275,1.99E+10,2.12E+06
276,1.99E+10,2.12E+06
277,2.00E+10,2.12E+06
278,2.01E+10,2.13E+06
279,2.02E+10,2.13E+06
280,2.02E+10,2.13E+06
281,2.03E+10,2.13E+06
282,2.04E+10,2.13E+06
283,2.04E+10,2.13E+06
284,2.05E+10,2.13E+06
285,2.06E+10,2.14E+06
286,2.07E+10,2.14E+06
287,2.07E+10,2.14E+06
288,2.08E+10,2.14E+06
289,2.09E+10,2.14E+06
290,2.09E+10,2.14E+06
291,2.10E+10,2.14E+06
292,2.11E+10,2.14E+06
293,2.12E+10,2.15E+06
294,2.12E+10,2.15E+06
295,2.13E+10,2.15E+06
296,2.14E+10,2.15E+06
297,2.15E+10,2.15E+06
298,2.15E+10,2.15E+06
299,2.16E+10,2.15E+06
300,2.17E+10,2.15E+06
301,2.17E+10,2.16E+06
302,2.18E+10,2.16E+06
303,2.19E+10,2.16E+06
304,2.20E+10,2.16E+06
305,2.20E+10,2.16E+06
306,2.21E+10,2.16E+06
307,2.22E+10,2.16E+06
308,2.23E+10,2.16E+06
