nbpts,z_h,Te
293,21165000000,2146100
294,21238000000,2147300
295,21310000000,2148600
296,21383000000,2149800
297,21455000000,2151100
298,21528000000,2152300
299,21600000000,2153600
300,21673000000,2154800
301,21746000000,2156000
302,21818000000,2157200
303,21891000000,2158400
304,21963000000,2159600
305,22036000000,2160800
306,22108000000,2162000
307,22181000000,2163200
308,22253000000,2164400
309,22326000000,2165600
310,22398000000,2166800
311,22471000000,2167900
312,22543000000,2169100
313,22616000000,2170200
314,22688000000,2171100
315,22761000000,2172000
316,22833000000,2172800
317,22906000000,2173700
318,22978000000,2174600
319,23051000000,2175500
320,23123000000,2176300
321,23196000000,2177200
322,23268000000,2178100
323,23341000000,2178900
324,23413000000,2179800
325,23486000000,2180600
326,23558000000,2181500
327,23631000000,2182400
328,23703000000,2183200
329,23776000000,2184100
330,23848000000,2184900
331,23921000000,2185700
332,23993000000,2186600
333,24066000000,2187400
334,24138000000,2188300
335,24211000000,2189100
336,24283000000,2189900
337,24356000000,2190800
338,24428000000,2191600
339,24501000000,2192400
340,24573000000,2193200
341,24646000000,2194100
342,24718000000,2194900
343,24791000000,2195700
344,24863000000,2196500
345,24936000000,2197300
346,25008000000,2198100
347,25081000000,2198900
348,25153000000,2199800
349,25226000000,2200600
350,25298000000,2201400
351,25371000000,2202200
352,25444000000,2203000
353,25516000000,2203700
354,25589000000,2204500
355,25661000000,2205300
356,25734000000,2206100
357,25806000000,2206900
358,25879000000,2207700
359,25951000000,2208500
360,26024000000,2209200
361,26096000000,2210000
362,26169000000,2210800
363,26241000000,2211600
364,26314000000,2212300
365,26386000000,2213100
366,26459000000,2213900
367,26531000000,2214600
368,26604000000,2215400
369,26676000000,2216100
370,26749000000,2216900
371,26821000000,2217600
372,26894000000,2218400
373,26966000000,2219100
374,27039000000,2219900
375,27111000000,2220600
376,27184000000,2221400
377,27256000000,2222100
378,27329000000,2222800
379,27401000000,2223600
380,27474000000,2224300
381,27546000000,2225000
382,27619000000,2225800
383,27691000000,2226500
384,27764000000,2227200
385,27836000000,2227900
386,27909000000,2228700
387,27981000000,2229400
388,28054000000,2230100
389,28126000000,2230800
390,28199000000,2231500
391,28271000000,2232200
392,28344000000,2232900
393,28416000000,2233600
394,28489000000,2234300
395,28561000000,2235000
396,28634000000,2235700
397,28706000000,2236400
398,28779000000,2237100
399,28851000000,2237800
400,28924000000,2238500
401,28997000000,2239100
402,29069000000,2239800
403,29142000000,2240500
404,29214000000,2241200
405,29287000000,2241900
406,29359000000,2242500
407,29432000000,2243200
408,29504000000,2243900
409,29577000000,2244500
410,29649000000,2245200
411,29722000000,2245900
412,29794000000,2246500
413,29867000000,2247200
414,29939000000,2247800
415,30012000000,2248500
416,30084000000,2249100
417,30157000000,2249800
418,30229000000,2250400
419,30302000000,2251000
420,30374000000,2251700
421,30447000000,2252300
422,30519000000,2253000
423,30592000000,2253600
424,30664000000,2254200
425,30737000000,2254900
426,30809000000,2255500
427,30882000000,2256100
428,30954000000,2256700
429,31027000000,2257300
430,31099000000,2258000
431,31172000000,2258600
432,31244000000,2259200
433,31317000000,2259800
434,31389000000,2260400
435,31462000000,2261000
436,31534000000,2261600
437,31607000000,2262200
438,31679000000,2262800
439,31752000000,2263400
440,31824000000,2264000
441,31897000000,2264600
442,31969000000,2265200
443,32042000000,2265800
444,32114000000,2266300
445,32187000000,2266900
446,32259000000,2267500
447,32332000000,2268100
448,32404000000,2268700
449,32477000000,2269200
450,32549000000,2269800
451,32622000000,2270400
452,32695000000,2270900
453,32767000000,2271500
454,32840000000,2272100
455,32912000000,2272600
456,32985000000,2273200
457,33057000000,2273700
458,33130000000,2274300
459,33202000000,2274800
460,33275000000,2275400
461,33347000000,2275900
462,33420000000,2276500
463,33492000000,2277000
464,33565000000,2277500
465,33637000000,2278100
466,33710000000,2278600
467,33782000000,2279100
468,33855000000,2279700
469,33927000000,2280100
470,34000000000,2280400
471,34072000000,2280600
472,34145000000,2280900
473,34217000000,2281100
