nbts,z_h,Te
302,246580000,244580
303,247430000,247440
304,248280000,250260
305,249130000,253040
306,249990000,255760
307,250840000,258440
308,251690000,261080
309,252540000,263680
310,253400000,266250
311,254250000,268760
312,255100000,271250
313,255950000,273710
314,256800000,276140
315,257660000,278540
316,258510000,280910
317,259360000,283250
318,260210000,285570
319,261070000,287860
320,261920000,290110
321,262770000,292340
322,263620000,294520
323,264480000,296680
324,265330000,298810
325,266180000,300920
326,267030000,303010
327,267890000,305080
328,268740000,307130
329,269590000,309140
330,270440000,311130
331,271300000,313100
332,272150000,315060
333,273000000,317000
334,273850000,318920
335,274710000,320820
336,275560000,322700
337,276410000,324570
338,277260000,326400
339,278120000,328230
340,278970000,330040
341,279820000,331830
342,280670000,333610
343,281520000,335380
344,282380000,337130
345,283230000,338860
346,284080000,340580
347,284930000,342270
348,285790000,343940
349,286640000,345600
350,287490000,347250
351,288340000,348880
352,289200000,350510
353,290050000,352120
354,290900000,353720
355,291750000,355310
356,292610000,356890
357,293460000,358460
358,294310000,360020
359,295160000,361570
360,296020000,363100
361,296870000,364630
362,297720000,366120
363,298570000,367600
364,299430000,369070
365,300280000,370530
366,301130000,371990
367,301980000,373440
368,302840000,374870
369,303690000,376300
370,304540000,377730
371,305390000,379140
372,306240000,380550
373,307100000,381950
374,307950000,383340
375,308800000,384720
376,309650000,386090
377,310510000,387460
378,311360000,388810
379,312210000,390160
380,313060000,391510
381,313920000,392810
382,314770000,394090
383,315620000,395370
384,316470000,396640
385,317330000,397900
386,318180000,399160
387,319030000,400420
388,319880000,401670
389,320740000,402910
390,321590000,404150
391,322440000,405380
392,323290000,406610
393,324150000,407840
394,325000000,409050
395,325850000,410270
396,326700000,411470
397,327550000,412680
398,328410000,413870
399,329260000,415060
400,330110000,416250
401,330960000,417430
402,331820000,418610
403,332670000,419780
404,333520000,420940
405,334370000,422100
406,335230000,423260
407,336080000,424410
408,336930000,425550
409,337780000,426690
410,338640000,427830
411,339490000,428960
412,340340000,430080
413,341190000,431200
414,342050000,432310
415,342900000,433400
416,343750000,434470
417,344600000,435540
418,345460000,436600
419,346310000,437660
420,347160000,438720
421,348010000,439770
422,348870000,440820
423,349720000,441870
424,350570000,442910
425,351420000,443950
426,352270000,444990
427,353130000,446020
428,353980000,447050
429,354830000,448070
430,355680000,449100
431,356540000,450110
432,357390000,451130
433,358240000,452140
434,359090000,453150
435,359950000,454150
436,360800000,455150
437,361650000,456150
438,362500000,457140
439,363360000,458130
440,364210000,459120
441,365060000,460100
442,365910000,461080
443,366770000,462060
444,367620000,463030
445,368470000,464000
446,369320000,464960
447,370180000,465920
448,371030000,466880
449,371880000,467840
450,372730000,468790
451,373590000,469740
452,374440000,470680
453,375290000,471620
454,376140000,472510
455,376990000,473410
